City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
464,Saldanha,ZA,-33.0117,17.9442,57.25,60,7,20.54,clear sky
465,Saint-Gaudens,FR,43.0833,0.6667,76.73,52,100,5.03,overcast clouds
466,Nioaque,BR,-21.1353,-55.83,99.77,27,34,12.35,scattered clouds
467,Sarankhola,BD,22.3082,89.7897,78.75,90,0,4.92,clear sky
468,Bengkulu,ID,-3.8004,102.2655,76.84,91,91,6.31,overcast clouds
469,Ardesen,TR,41.1911,40.9875,62.56,79,59,3.33,broken clouds
470,Beloha,MG,-25.1667,45.05,74.17,62,27,5.44,scattered clouds
471,Hailey,US,43.5196,-114.3153,48.06,40,1,11.5,clear sky
472,Paita,PE,-5.0892,-81.1144,72.16,70,25,14.94,scattered clouds
473,Northam,GB,51.0333,-4.2167,56.82,95,95,17.34,overcast clouds
474,Mocoa,CO,1.1493,-76.6466,86.13,58,53,4.99,broken clouds
475,Beyneu,KZ,45.3167,55.2,55.17,26,42,7.47,scattered clouds
476,Lukiv,UA,51.0521,25.4006,55.18,62,20,8.08,few clouds
477,Gazojak,TM,41.1875,61.4036,52.25,22,0,10.22,clear sky
478,Tacuati,PY,-23.45,-56.5833,102.24,28,39,8.7,scattered clouds
479,Morros,BR,-9.4467,-46.3003,100.78,17,19,9.69,few clouds
480,Funehiki,JP,37.4333,140.5833,56.75,94,13,2.04,few clouds
481,Matara,LK,5.9485,80.5353,77.61,90,11,7.54,few clouds
482,Juneau,US,58.3019,-134.4197,46.22,88,90,1.01,light rain
483,Kargala,RU,56.6208,83.9607,36.95,93,100,6.91,overcast clouds
484,Kula,TR,38.5473,28.6498,61.56,39,22,7.23,few clouds
485,Scarborough,GB,54.2797,-0.4044,54.54,90,100,1.01,moderate rain
486,Mersing,MY,2.4312,103.8405,76.91,88,98,6.91,overcast clouds
487,Dolores,AR,-36.3132,-57.6792,67.84,51,77,14.2,light rain
488,Annau,TM,37.8876,58.516,62.1,31,0,4.61,clear sky
489,Nueva Guinea,NI,11.6876,-84.4562,80.24,84,65,9.73,broken clouds
490,Nisia Floresta,BR,-6.0911,-35.2086,88.18,52,17,14.5,few clouds
491,Neepawa,CA,50.2289,-99.4664,60.82,33,3,6.87,clear sky
492,Murray Bridge,AU,-35.1167,139.2667,64.44,52,100,11.45,light rain
493,Maningrida,AU,-12.0667,134.2667,77.43,81,100,6.17,overcast clouds
494,Kyra,RU,49.5776,111.9753,33.85,99,100,4.45,light rain
495,Mana,GF,5.6592,-53.7767,83.93,74,66,8.97,broken clouds
496,Windhoek,NA,-22.5594,17.0832,73.89,9,0,2.3,clear sky
497,Lola,GN,7.8,-8.5333,72.19,98,100,2.59,light rain
498,Gornopravdinsk,RU,60.05,69.9,31.33,96,92,6.69,overcast clouds
499,Pacocha,PE,-17.5833,-71.3333,62.74,77,90,12.66,overcast clouds
500,Talavera De La Reina,ES,39.9635,-4.8308,79.61,32,54,10.22,broken clouds
501,Lao Cai,VN,22.4833,103.95,75.79,98,94,0.67,overcast clouds
502,Namatanai,PG,-3.6667,152.4333,78.8,80,93,4.45,overcast clouds
503,Peace River,CA,56.2501,-117.286,44.91,65,90,6.91,overcast clouds
504,Siyabuswa,ZA,-25.1132,29.0445,72.01,58,76,3.13,light rain
505,Yantal,RU,56.8471,105.2542,34.68,98,100,3.76,overcast clouds
506,Dzilam Gonzalez,MX,21.2833,-88.9333,90.82,49,96,4.99,overcast clouds
507,Alice Springs,AU,-23.7,133.8833,72.95,18,0,8.05,clear sky
508,Honningsvag,NO,70.9821,25.9704,48.9,88,100,22.62,overcast clouds
509,Finschhafen,PG,-6.6024,147.8681,78.87,84,100,4.7,overcast clouds
510,Troitsko-Pechorsk,RU,62.7084,56.1964,32.68,83,66,4.72,broken clouds
511,Gotsu,JP,35.0,132.2167,65.55,69,0,5.39,clear sky
512,Verkhnevilyuysk,RU,63.4453,120.3167,27.21,80,34,2.1,scattered clouds
513,Victoria Point,AU,-27.5833,153.3,61.61,80,59,6.64,broken clouds
514,Hofn,IS,64.2539,-15.2082,46.54,76,100,21.36,overcast clouds
515,Guilin,CN,25.2819,110.2864,77.11,73,12,1.39,light rain
516,Malakal,SS,9.5334,31.6605,73.87,94,93,7.43,light rain
517,Najran,SA,17.4924,44.1277,88.45,28,69,11.1,broken clouds
518,Isangel,VU,-19.55,169.2667,72.64,94,100,11.72,moderate rain
519,Naryan-Mar,RU,67.6713,53.087,34.97,81,100,5.57,overcast clouds
520,Upata,VE,8.0086,-62.3989,85.19,74,41,4.54,scattered clouds
