City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
151,Yinchuan,CN,2021-09-29 01:33:25,38.4681,106.2731,295.03,17,0,0.37
152,Neryungri,RU,2021-09-29 01:33:26,56.6709,124.6491,273.57,96,100,6.42
153,Vanimo,PG,2021-09-29 01:33:26,-2.6741,141.3028,303.72,65,84,2.69
154,Bredasdorp,ZA,2021-09-29 01:33:26,-34.5322,20.0403,282.19,88,10,1.58
155,Tazovskiy,RU,2021-09-29 01:33:27,67.4667,78.7,273.0,83,10,2.83
156,Sakakah,SA,2021-09-29 01:33:27,29.9697,40.2064,302.91,30,0,2.32
157,Dudinka,RU,2021-09-29 01:33:27,69.4058,86.1778,272.42,77,19,2.41
158,Cururupu,BR,2021-09-29 01:33:28,-1.8283,-44.8683,297.62,90,37,1.67
159,Arraial Do Cabo,BR,2021-09-29 01:33:28,-22.9661,-42.0278,294.75,88,2,10.64
160,Tabou,CI,2021-09-29 01:33:28,4.423,-7.3528,298.02,88,83,1.98
161,Laguna,US,2021-09-29 01:32:08,38.421,-121.4238,298.71,18,1,2.24
162,Severo-Kurilsk,RU,2021-09-29 01:33:29,50.6789,156.125,285.58,78,100,5.66
163,Vila Franca Do Campo,PT,2021-09-29 01:33:29,37.7167,-25.4333,297.15,91,28,2.06
164,Yulara,AU,2021-09-29 01:33:30,-25.2406,130.9889,295.06,35,0,2.57
165,Lavrentiya,RU,2021-09-29 01:33:30,65.5833,-171.0,274.29,78,100,4.28
166,Pavilosta,LV,2021-09-29 01:33:30,56.8879,21.1859,283.12,76,100,6.29
167,San Ramon,US,2021-09-29 01:33:30,37.7799,-121.978,298.39,51,1,2.24
168,Batken,KG,2021-09-29 01:33:31,39.8333,71.0,283.49,33,0,1.54
169,Pierre,US,2021-09-29 01:33:31,44.3683,-100.351,301.66,37,1,2.68
170,Tahta,EG,2021-09-29 01:33:31,26.7693,31.5021,295.33,37,0,3.53
171,Oranjemund,NA,2021-09-29 01:33:32,-28.55,16.4333,286.3,91,48,4.08
172,Baghdad,IQ,2021-09-29 01:33:03,33.3406,44.4009,294.1,37,0,0.51
173,Polovinnoye,RU,2021-09-29 01:33:32,54.7914,65.9864,275.67,75,97,5.52
174,Cockburn Town,TC,2021-09-29 01:33:33,21.4612,-71.1419,301.76,71,2,4.26
175,Narsaq,GL,2021-09-29 01:33:33,60.9167,-46.05,274.27,43,0,3.19
176,Glendive,US,2021-09-29 01:33:13,47.1053,-104.7125,303.44,22,1,8.75
177,Viedma,AR,2021-09-29 01:33:13,-40.8135,-62.9967,281.69,69,4,4.81
178,Santa Rosa,PH,2021-09-29 01:33:34,14.3122,121.1114,304.31,67,63,1.54
179,Hauterive,FR,2021-09-29 01:33:34,46.0901,3.4459,287.57,73,23,1.98
180,Tucuman,AR,2021-09-29 01:33:34,-26.8241,-65.2226,293.15,68,4,4.12
181,Pafos,CY,2021-09-29 01:30:17,34.7667,32.4167,293.1,73,1,4.12
182,Villa Rica,US,2021-09-29 01:33:35,33.7321,-84.9191,295.25,95,47,1.52
183,Dzaoudzi,YT,2021-09-29 01:33:35,-12.7887,45.2699,296.09,94,0,1.03
184,Alofi,NU,2021-09-29 01:33:35,-19.0595,-169.9187,299.09,83,75,6.17
185,Berlevag,NO,2021-09-29 01:33:36,70.8578,29.0864,283.03,69,99,5.86
186,Necochea,AR,2021-09-29 01:33:19,-38.5473,-58.7368,279.84,74,0,4.98
187,Sur,OM,2021-09-29 01:33:36,22.5667,59.5289,302.27,61,100,0.53
188,Port Elizabeth,ZA,2021-09-29 01:32:17,-33.918,25.5701,287.31,67,0,4.63
189,Qazvin,IR,2021-09-29 01:33:36,36.2797,50.0049,285.94,76,0,1.03
190,Chalon-Sur-Saone,FR,2021-09-29 01:33:37,46.7833,4.85,287.29,84,61,2.44
191,Baraki Barak,AF,2021-09-29 01:33:37,33.9675,68.9486,291.2,59,0,0.71
192,Oriximina,BR,2021-09-29 01:33:37,-1.7656,-55.8661,300.77,61,82,1.1
193,Leh,IN,2021-09-29 01:33:38,34.1667,77.5833,285.96,41,0,0.58
194,Auki,SB,2021-09-29 01:33:38,-8.7676,160.7034,303.13,64,100,1.79
195,Norman Wells,CA,2021-09-29 01:33:38,65.282,-126.8329,272.17,93,90,7.2
196,Nizhniy Kuranakh,RU,2021-09-29 01:32:09,58.8353,125.4869,275.0,97,100,4.26
197,Valparaiso,CL,2021-09-29 01:33:39,-33.0393,-71.6273,283.95,71,0,1.54
198,Nicoya,CR,2021-09-29 01:33:39,10.1483,-85.452,294.9,95,100,1.87
199,Dalby,AU,2021-09-29 01:33:39,-27.1833,151.2667,293.54,71,100,1.34
200,San Patricio,US,2021-09-29 01:33:40,28.017,-97.5169,303.08,74,5,8.02
201,Nhulunbuy,AU,2021-09-29 01:33:40,-12.2333,136.7667,303.49,62,75,6.17
202,Rylsk,RU,2021-09-29 01:33:40,51.5655,34.6822,278.85,82,90,3.47
203,Ardakan,IR,2021-09-29 01:33:41,32.31,54.0175,296.55,19,0,1.18
204,Worksop,GB,2021-09-29 01:33:41,53.3018,-1.124,284.32,81,100,4.73
205,Ostrovnoy,RU,2021-09-29 01:33:42,68.0531,39.5131,282.96,73,100,5.48
206,Mweka,CD,2021-09-29 01:33:42,-4.85,21.5667,292.87,98,96,0.67
207,Svetlogorsk,BY,2021-09-29 01:33:42,52.6333,29.7333,278.04,96,65,3.24
208,Coolum Beach,AU,2021-09-29 01:33:43,-26.5333,153.1,295.99,59,100,5.31
